Genotype,FL,PH,YLD,ZN
1006,-2.60678645805909,-6.03113638828728,-25.8306648469706,1.78611352340461
1008,1.84227312345893,1.57577379255372,-31.9440646340563,2.57191332004896
1009,1.76597956556348,-3.23936008659928,4.47626397533452,-0.349212576041651
1012,4.62290398684516,3.03438184437118,-34.7386105082965,-0.578117740468997
1022,3.27593065738617,-6.53395648676087,-6.00954693153489,-0.264300629215384
1023,-0.595723322038828,6.84259718536771,5.08202903558976,0.0696617379746698
1031,3.96790168865999,-0.523697995126895,-29.8556223847575,-0.528063389133706
1033,8.09385343404127,1.93261235174714,-93.6603112247069,0.184637820647652
1037,0.692120024162296,1.4894487788409,-17.2507876851356,-0.4341525704981
1039,1.93787274666761,4.37981532168669,-92.4989468145213,2.17442845308926
1044,3.40097598476691,8.93125785579741,85.0782350406507,-0.363654507331773
1045,-5.34144680240238,2.38852429368495,69.2919948836815,1.76066191485053
1046,-0.326012183019833,0.370044612725337,8.29426805112217,1.17659345217389
1050,5.96648094999968,-5.95813468399777,-107.704162178431,0.986972353563615
1052,-8.63474444704632,-4.70565552140374,-68.4096043421573,0.0481155716722128
1055,0.198097433184668,6.44946547062,-7.19597875215166,-0.787506817807781
1056,4.78984632853566,9.5974798459365,-25.8046671464374,2.83780021812837
1067,-5.66251280957119,8.45723985249231,-56.4067831703446,0.0706236005378003
1070,-4.45899230685202,-3.48160654927278,16.0241052796177,2.15015229051983
1076,1.34666725248619,9.8188617503962,-13.8510562104833,1.0414055026533
1082,1.93951058823929,10.9753807440591,-46.4591836728935,-2.42855244546735
1084,1.5390489143103,-2.10676502615587,-33.8317009182331,0.000624995225777525
1086,-8.87592614404017,1.33759449385241,21.4139231399214,-0.293273533082044
1087,-2.18095647829674,3.70961177253753,2.16372472230103,5.16477784733198
1091,-4.8084594426967,5.2616545576584,34.1760672535254,-0.115153572316729
1093,0.391792539720181,3.54652394361329,-30.7327507590269,-2.28933304087012
1096,2.6552354113087,3.95152248360728,-57.822714195006,-0.612385686766857
1099,-5.41118122563659,0.440714444676928,43.5632787911055,-0.895248185598007
1104,-1.97915722511615,-3.81954959548875,0.411890809989472,0.984136498094699
1106,0.631953602874038,-7.71976418268503,-19.5618506692974,-0.65413730092682
1109,-2.17135959816192,-8.17392314343169,-10.1473432050618,0.788674482577449
1110,-6.42981035346618,-5.72873605897985,-25.6541874932188,0.646540063220641
1115,-0.858133810700753,5.88325440612198,2.38268578633193,-1.45275690670491
1117,-2.06478123163067,-3.38448893733698,13.0881672356179,1.88988621214057
1118,2.01946861321167,-3.17169223912401,-3.7774793996623,2.7126260814359
1120,3.05966744858059,1.17723023796316,-99.3186896342154,-0.619673197230469
1123,-6.87759537641908,-0.536887892022605,114.676871187948,-2.14062512520184
1125,-0.553683997741532,0.501464296562517,13.430639920578,0.239425678577959
1128,1.33588640788903,-4.97183870549156,6.87006378561864,0.183943344473846
1131,-2.63874512208098,8.69095404822667,108.781025877977,-0.461100842839912
1132,-4.19402927633647,-3.20559114724131,-55.8170447304509,1.50945892415217
1134,5.17099157268063,6.25768259888514,-81.7296072186434,0.159139895290139
1137,1.81424936404801,-0.359165053676406,5.51837005605125,0.821648901244544
1138,-1.99375461027259,-5.43488665189398,-30.1430410337448,-2.56149321204204
1144,3.42000645948659,-3.55194203627025,-90.8103268271843,3.03110162167431
1145,3.79612710605137,-1.71670372144763,22.7623445919212,3.87987806735009
1148,2.23819913988888,-3.6104511212734,-6.8938198653259,1.41201581653547
1150,1.19991237907185,1.44045503013206,-56.5755664857004,-3.79276368202522
1152,0.11691953752775,3.29685675721794,-39.7273301363085,-3.47346812056824
1155,0.932042532907031,-2.04401251159766,-85.5289715911524,0.527775629064422
1164,3.91538029834322,-7.68584988853672,-25.3488697608498,1.01394889277333
1166,3.84239748510407,-9.54254765897531,12.0191258025181,-1.57567377937568
1167,1.72135548785174,-3.97299160616342,-13.0316793755067,0.375656987639985
1171,3.25041738040654,6.23603058610649,-48.520045457419,0.789806877968204
1173,1.78158242623936,-2.08160331836712,-28.2135366287224,-0.573112699746474
1174,3.6996518477062,3.40066367105646,-78.9094628581529,1.57859467015214
