Genotype;D;H;I;T4;T5;T6
BE10_19_D_GS;1.07582435404185;-535.107416159324;-134.301209089506;0.407513672489381;-0.0830081322315959;1.45845079754688
BE10_22_B_GS;-1.89135463969105;451.746035285775;69.245081868342;-0.611084785396816;1.00562336685927;-0.998941979852084
BE10_6_A_GS;0.261387422170408;167.934919100921;65.638849230428;1.57051590113208;-1.80239465324778;2.41726826952995
BE2_1_C_YA;-2.75209681571986;-501.161390886845;-92.5676140228852;4.6998647139455;3.93248463199745;1.73056102377032
BE2_11_B_YA;-0.661988242783045;-695.068099124219;-136.706472146495;0.139118503519773;0.735049270967179;-0.430860004379262
BE2_15_D_GS;-4.12230449094538;-165.107403468963;5.6866480063037;2.80714961367983;0.916924179796329;-1.34138114119394
BE2_26_A_GS;-9.13572740438686;-802.065119610464;-61.8549454044814;-1.8290570409458;-5.80213654432832;-10.181587382521
BE2_3_C_GS;-2.72175315397553;127.739993361565;42.8991753526871;-0.255912285593848;-4.43421742389563;-2.95839896655771
BE2_30_D_YA;-2.69702059317545;-1242.90896694177;-206.632495343817;2.96914463195038;0.526608148037446;0.0245881977750146
BE3_10_C_GS;0.0786639129067854;-192.260019127658;-32.094123659827;-5.85552666739245;-5.63413162846403;-5.7579348862437
BE3_20_C_YA;0.947477395447835;648.838653316248;102.624308222477;-2.4996027341005;-1.2669550797847;-1.46908612612436
BE3_22_B_GS;0.506927921260747;-408.253997947045;-44.0820202730105;4.98830725266513;2.40561070238457;4.0201001264072
BE3_27_D_YA;4.40098843785328;787.091110144262;139.743547089353;-6.62974294916399;-3.27284670406642;-2.17496829261066
BE3_29_D_GS;-1.32293824882935;-325.107408966528;-64.3030629266407;5.40690005436612;4.11654162918311;3.85819892451798
BE4_10_A_GS;6.10193508993224;;-204.075703740282;3.00857509374825;9.55759049145049;5.39685419241168
BE4_20_B_YA;1.93921698268105;-335.068083640357;-10.1174952898816;-3.66099999351867;-3.66463361937975;-1.63064973498896
BE4_23_C_YA;2.34806950065596;-1001.16140079836;-180.562184292426;-3.89909164130888;-2.86603876582861;-1.46866118818785
BE4_27_D_YA;2.60219761984407;67.0910862192577;-0.250152336287357;-2.83028501414284;-0.473167355862311;-0.175166542456223
